字段,字段编码,字段类型,是否必须字段,数据范围,数据来源,数据来源表,来源字段,字段说明
日期,FreezeDay,Date,是,2022年~2030年,CAS,M_Data_View_Daily,FreezeDate,用电日期
Meter No.,MeterNo,String,是,21000001~21999999,CAS,M_Data_View_Daily,MeterNo,电表号
测量点,MeterPointNo,String,是,,CAS,C_AR_Meter_PNT,Meter_Pnt_no,测量点编号
客户名称,CustomerName,String,是,,Billing,待定,待定,待定
电流CT变比描述,CT,String,是,,CAS,,,默认1/1
电流CT变比值,CTValue,Double,是,,CAS,"C_AR_Meter_PNT
C_AR_CT_PT_CHANGE_LOG","Rate_Current
NEW_Rate",默认1
电压VT变比描述,VT,String,是,,CAS,,,默认1/1
电压VT变比值,VTValue,Double,是,,CAS,"C_AR_Meter_PNT
C_AR_CT_PT_CHANGE_LOG","Rate_Power
New_rate",默认1
用电类型,ConsumeType,Int,是,1~10,CAS,,,用电类型
用电性质,ConsumeCategory,Int,否,,客户Billing系统,,,主要工业，商业，农业，渔业，制造业，电子，公共事业单位，加工能目录明细，需要来源于
日正向有功累计用电量,ImportACumulative,Double,是,,,,,
日反向有功累计用电量,ExportACumulative,Double,是,,,,,
日正反向合计用电量增量,Usage,Double,是,1~1000,,,,日用电量
台区编号,AreaId,String,是,1800000~1888888,,,,台区编号
挂载的台区相位,LoadPhaseActual,Int,否,"1,2,3",,,,档案记录台区相位，可以为空
台区天气,Weather,Int,否,"1,2,3",,,,台区天气
台区气温,Temperature,Double,否,‘-20~50’,,,,台区气温
台区供电量,Supplied,Double,是,100~1000,,,,台区供电量
台区用电量,Consumed,Double,是,1~100,,,,台区用电量
台区线损量,LossUsage,Double,是,100~1000,,,,台区线损量
台区线损率,LossRate,Double,是,‘-100%~100%’,,,,台区线损率
普通表数量,MeterQty,Double,是,0~300,,,,普通表数量
普通表采集数量,MeterQtyColled,Double,是,0~300,,,,普通表采集数量
总表数量,GMMeterQty,Double,是,0~1,,,,总表数量
总表采集数量,GMMeterQtyColled,Double,是,0~1,,,,总表采集数量
测量点经度,LONGITUDE,Double,是,,,,,测量点经度
测量点经度,LATITUDE,Double,是,,,,,测量点经度
Distance(米),Distance,Double,是,,,,,距离总表距离
是否总表,IsGM,Int,是,,,,,1表示是，0表示否
L1平均相关性,L1VolRal,Double,否,,,,,"相位识别用,最大电压与总表最大电压相关性，最小电压与总表最小电压相关性,求平均值"
L2平均相关性,L2VolRal,Double,否,,,,,"相位识别用,最大电压与总表最大电压相关性，最小电压与总表最小电压相关性,求平均值"
