指标名称,指标编码/ID,指标描述,负责人/维护人,数据来源表/视图,参考日期/事件时间字段,过滤条件,事实字段/核心度量字段,算法/聚合方式,维度字段,计算逻辑详细说明,计算粒度,单位,典型统计周期,更新频率,应用场景,业务规则备注,依赖指标,创建日期,修订历史 
台区高损持续天数,TQ_HIGH_LOSS_DAYS,台区线损率连续高于阈值的天数,系统管理员,M_ENERGY_STATIS_REGION_DAILY,STATIS_DATE,LOSS_RATIO > LOSS_RATIO_THRESHOLD,LOSS_RATIO,COUNT(DISTINCT STATIS_DATE),REGION_ID,"计算特定台区连续高于阈值的天数，如果连续天数超过30天，则标记为长期高损",台区,天,月/季/年,日更新,线损异常分析,通常线损率阈值为10%,,2023-05-20,
CT倍率异常指标(总表),GM_CT_ABNORMAL_RATIO,总表CT倍率异常评分,系统管理员,"C_AR_CT_PT_CHANGE_LOG, M_ENERGY_STATIS_REGION_DAILY",CHANGE_TIME,CT_PT_TYPE = 'CT' AND IsGM = 1,NEW_RATE/OLD_RATE,AVG(),REGION_ID,"计算总表CT倍率变更前后的供电量/用电量比值变化，如比值变化超过20%则可能存在CT倍率设置异常",台区,%,月/季/年,日更新,线损异常分析,,,2023-05-20,
CT倍率异常指标(分表),SM_CT_ABNORMAL_RATIO,分表CT倍率异常评分,系统管理员,"C_AR_CT_PT_CHANGE_LOG, M_Data_View_Daily",CHANGE_TIME,CT_PT_TYPE = 'CT' AND IsGM = 0,NEW_RATE/OLD_RATE,AVG(),REGION_ID,"计算分表CT倍率变更前后的用电量变化，如用电量变化超过20%则可能存在CT倍率设置异常",台区,%,月/季/年,日更新,线损异常分析,,,2023-05-20,
台区户表关系错误指标(总表),GM_METER_RELATION_ERROR,总表关联户表错误程度,系统管理员,"M_ENERGY_STATIS_REGION_DAILY, 户变关系变更记录",STATIS_DATE,"REGION_ID, IsGM = 1",CONSUMED/SUPPLIED,STD(),REGION_ID,"通过分析台区总表与分表数据的变化趋势一致性，计算线损率方差，方差过大表明台区户表关系可能存在错误",台区,%,月/季/年,日更新,线损异常分析,,,2023-05-20,
台区户表关系错误指标(分表),SM_METER_RELATION_ERROR,分表关联台区错误程度,系统管理员,"M_Data_View_Daily, 户变关系变更记录",FreezeDate,"AreaId, IsGM = 0",Usage,CORR(),AreaId,"计算分表用电量与所属台区总表用电量的相关性，相关性低表明台区户表关系可能存在错误",用户表,%,月/季/年,日更新,线损异常分析,,,2023-05-20,
窃电行为识别指标(总表),GM_THEFT_DETECTION,总表窃电行为检测指标,系统管理员,M_ENERGY_STATIS_REGION_DAILY,STATIS_DATE,IsGM = 1,"LOSS_USAGE, LOSS_RATIO",MOVING_AVG(LOSS_RATIO, 30) - TECH_LOSS_RATIO,REGION_ID,"计算实际线损率与理论线损率差值的30天移动平均值，持续高于阈值表明可能存在窃电行为",台区,%,月/季/年,日更新,线损异常分析,异常情况需要现场核查,,2023-05-20,
窃电行为识别指标(分表),SM_THEFT_DETECTION,分表窃电行为检测指标,系统管理员,"M_Data_View_Daily, 异常用电大宽表",FreezeDate,IsGM = 0,"Usage, Event-269, Event-287, Event-289, Event-297",COUNT(Event-269 OR Event-287 OR Event-289 OR Event-297),MeterNo,"统计电表CT短接/旁路、表盖打开、端子盖打开、强磁场干扰等窃电相关事件的发生次数，频繁发生表明可能存在窃电行为",用户表,次,月/季/年,日更新,线损异常分析,异常情况需要现场核查,,2023-05-20,
时钟同步偏差指标(总表),GM_CLOCK_SYNC_DEVIATION,总表时钟同步偏差指标,系统管理员,异常用电大宽表,FreezeDay,IsGM = 1,"Event-1538, Event-12803",COUNT(Event-1538 OR Event-12803),AreaId,"统计总表时钟同步超阈值、时钟漂移超阈值等事件的发生次数，频繁发生表明可能存在时钟同步问题",台区,次,月/季/年,日更新,线损异常分析,时钟同步问题会导致计量不准确,,2023-05-20,
时钟同步偏差指标(分表),SM_CLOCK_SYNC_DEVIATION,分表时钟同步偏差指标,系统管理员,异常用电大宽表,FreezeDay,IsGM = 0,"Event-1538, Event-12803",COUNT(Event-1538 OR Event-12803),MeterNo,"统计分表时钟同步超阈值、时钟漂移超阈值等事件的发生次数，频繁发生表明可能存在时钟同步问题",用户表,次,月/季/年,日更新,线损异常分析,时钟同步问题会导致计量不准确,,2023-05-20,
供电半径过长指标(总表),GM_SUPPLY_RADIUS_SCORE,总表供电半径评分,系统管理员,"M_ENERGY_STATIS_REGION_DAILY, 区域档案",STATIS_DATE,IsGM = 1,"VOLTAGE_DROP, SUPPLY_RADIUS",AVG(VOLTAGE_DROP) / RATED_VOLTAGE,REGION_ID,"计算台区电压降与额定电压的比值，比值过大表明供电半径可能过长",台区,%,月/季/年,日更新,线损异常分析,供电半径过长会导致线损增加,,2023-05-20,
供电半径过长指标(分表),SM_SUPPLY_RADIUS_SCORE,分表供电半径评分,系统管理员,异常用电大宽表,FreezeDay,IsGM = 0,"MinVolMin, MaxVolMax, Distance",1 - (MinVolMin / MaxVolMax),MeterNo,"计算分表最小电压最小值与最大电压最大值的比值，比值偏低且距离总表距离远表明供电半径可能过长",用户表,%,月/季/年,日更新,线损异常分析,供电半径过长会导致线损增加,,2023-05-20,
